,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
3134,3151,316R2o0sNz4kCKyR0DOCVj,Rockstar (feat. Lil Skies),Lil Durk,0.205,0.691,0.443,158193,0.547,148.385,0.344,2018-11-09
3135,3152,6ihObRBTB8xdSH2mlERtOX,Slow Motion,Juvenile,0.526,0.733,0.711,248200,0.0675,172.925,0.87,2003-01-01
3136,3153,37iVijLSSlIbjYbl4ycUge,Ultrasound,Joyner Lucas,0.664,0.5660000000000001,0.882,174555,0.193,110.048,0.483,2017-06-16
3137,3154,6CfrYuD3YRDYdYvH9jNtXY,No Long Talk,Drake,0.0626,0.627,0.919,149569,0.529,97.076,0.52,2017-03-18
3138,3155,2SIdGJTWirTxRNEyCp9ocI,Vice City (feat. Black Hippy),Jay Rock,0.156,0.5529999999999999,0.8440000000000001,283752,0.0816,114.939,0.511,2015-09-11
3139,3156,1yy2DlSDtEt90d54rPDPXz,I'll Be Missing You (feat. Faith Evans & 112),Diddy,0.111,0.619,0.833,306560,0.159,109.92,0.901,1997-01-01
3140,3157,5C44ht7rPrVh6q8UaDz8ob,Beef (feat. Meek Mill),Tee Grizzley,0.233,0.752,0.7509999999999999,232421,0.331,95.025,0.483,2017-08-31
3141,3158,0WCbhE2evMrIwRM0DlMy9k,Mixtape (feat. Young Thug & Lil Yachty),Chance the Rapper,0.0498,0.43,0.838,292910,0.0977,126.981,0.126,2016-05-27
3142,3159,5KYy4AxlClkQPWaF1Iat3g,Halloween,Kodak Black,0.434,0.614,0.703,202333,0.0942,150.047,0.453,2017-10-31
3143,3160,1dzwFgBlZNxt28aQOinNGn,Changes,A$AP Rocky,0.47,0.326,0.478,314653,0.32299999999999995,137.029,0.34,2018-05-25
3144,3161,6jvvpPJQJy5rMOEkLlADl6,Neighbors Know My Name,Trey Songz,0.0379,0.693,0.6629999999999999,186307,0.162,120.026,0.391,2009-08-31
3145,3162,5yvhdo8FXbBsIllxv2Rr94,Prom,SZA,0.0658,0.7020000000000001,0.805,196133,0.123,120.041,0.225,2017-06-09
3146,3163,7cVmKBwzPsh4Fmb6SplfEm,"Lean Wit It, Rock Wit It",Dem Franchize Boyz,0.08199999999999999,0.62,0.8859999999999999,229813,0.1,76.035,0.6,2006-02-07
3147,3164,3BFrR2hemusNSuiuNWXUqO,Come Thru,Jacquees,0.15,0.552,0.725,291500,0.214,111.996,0.5820000000000001,2014-03-25
3148,3165,4E5IFAXCob6QqZaJMTw5YN,Poppin' Them Thangs,G-Unit,0.252,0.813,0.768,240800,0.0839,88.023,0.918,2003-01-01
3149,3166,4lRrk574qIHpoEEKC1zuam,At Your Best (You Are Love),Aaliyah,0.7609999999999999,0.441,0.626,291400,0.0685,78.094,0.563,1994-05-22
3150,3167,4RwVpiy6oEEF8yo8jigRBq,M.A.T.A.,Kevin Gates,0.0746,0.732,0.446,219952,0.218,139.674,0.34700000000000003,2018-09-28
3151,3168,7aqY1b0KarccMd0USA7cIG,Drip or Drown Remix (feat. Lil Yachty),Gunna,0.6629999999999999,0.378,0.942,178983,0.123,117.994,0.691,2018-02-02
3152,3169,0PWP4LIOI5xjVkaWqES7ek,Headstone,Flatbush Zombies,0.0196,0.665,0.792,258765,0.597,90.001,0.7859999999999999,2018-04-06
3153,3170,3SwhPTNNU5hpF33bbCsji6,Roses,BJ The Chicago Kid,0.38,0.597,0.655,181144,0.11,110.01,0.219,2017-02-13
3154,3171,4UYQHTgOlSdaQWfUTAjpop,Void,Pouya,0.16899999999999998,0.8540000000000001,0.767,230501,0.175,109.943,0.519,2018-03-05
3155,3172,0Kojfmpnf0A2yC1zyv39Zx,Buried Alive,Logic,0.0916,0.83,0.755,337747,0.298,139.9,0.513,2014-10-21
3156,3173,2lMg3lCMOGistaWBNGjuT3,Blow the Whistle,Too $hort,0.0042,0.625,0.907,163133,0.151,99.918,0.605,2006-08-28
3157,3174,5uNMSSxk4ve8R7yQnUBQAT,Skrubs,Lil Durk,0.0513,0.665,0.741,261465,0.119,147.025,0.515,2018-11-09
3158,3175,6ucR4KfvsBFWCMVFDvyKKl,Apologize,Timbaland,0.0399,0.61,0.654,184400,0.101,118.032,0.118,2007-04-02
3159,3176,1uDrIgjVtFsrrWWctCxoBL,Grown Up,Danny Brown,0.117,0.764,0.649,139931,0.12,93.083,0.703,2012-06-12
3160,3177,5aooThgj87ID0vgiyvcjPM,I'm Goin In,Drake,0.0389,0.763,0.662,225307,0.103,170.03099999999995,0.5660000000000001,2009-09-15
3161,3178,2IDMCaW8K2nrFOoR5UANUo,Fallen,Jaden Smith,0.121,0.7120000000000001,0.499,262474,0.0993,82.523,0.231,2017-11-17
3162,3179,1RjU7UhRICmdFPKxCucLgq,Hell on Earth (Front Lines),Mobb Deep,0.275,0.6579999999999999,0.875,274093,0.122,92.039,0.6609999999999999,1996-11-19
3163,3180,3Jx6gfnFfcGXSLy3VqPYyU,Time Goes Down,Flipp Dinero,0.0991,0.7070000000000001,0.758,195789,0.0987,151.942,0.482,2017-06-23
3164,3181,2Vpj5colB0MPy3Zg5SITEC,Bow Down,Westside Connection,0.0208,0.458,0.897,206827,0.419,92.928,0.513,1996-10-22
3165,3182,7i3NiyX4x4WZ8xZjIXWi4s,First Class,Lil Baby,0.00503,0.29100000000000004,0.8320000000000001,201085,0.0796,134.063,0.289,2018-05-18
3166,3183,4CwumbYOUtgSylJnSrZ7oY,Forever Young,Lil Yachty,0.5479999999999999,0.615,0.685,177720,0.16899999999999998,137.93200000000002,0.7170000000000001,2017-05-26
3167,3184,6e2PtJYcltVk76nLwxBzRn,One Day (feat. Ryan Tedder),Logic,0.118,0.871,0.529,199867,0.115,189.837,0.272,2018-07-27
3168,3185,7zAGi1cps7yYhAajGXlFTH,Chica Paranormal,Paulo Londra,0.21600000000000005,0.596,0.84,221214,0.0897,139.937,0.71,2018-07-24
3169,3186,0fyBYsrmpihh1mfalssDlB,King Tulip,$uicideBoy$,0.15,0.579,0.585,185218,0.111,120.838,0.281,2018-09-07
3170,3187,6v2eEC9Nr9POe5xPUm8361,Blunt Blowin,Lil Wayne,0.00222,0.738,0.721,312960,0.224,135.988,0.375,2011-01-01
3171,3188,7MywASx2OFZngfoORjo1yy,31 DAYS,Future,0.267,0.644,0.875,240682,0.125,139.086,0.7879999999999999,2018-07-06
3172,3189,7G3lxTsMfSx4yarMkfgnTC,The World Is Yours,Nas,0.274,0.794,0.6779999999999999,290573,0.124,87.374,0.54,1994-04-19
3173,3190,3V8sM5OOG6YfDuDLa2IIYJ,Used to This,Future,0.0312,0.727,0.618,180520,0.196,164.99200000000005,0.401,2016-11-04
3174,3191,7udsBKuqnJ5csWTAkR0vEI,We'll Be Fine,Drake,0.00171,0.488,0.386,247947,0.64,193.397,0.217,2011-11-15
3175,3192,0tNuJpBgtE65diL6Q8Q7fI,On & On,Erykah Badu,0.061,0.403,0.765,226133,0.204,80.38600000000002,0.295,1997-01-01
